Type,Date,Case,Latitude,Longtitude
피습 사건,1970-04-29,무장공비 침투 사건,38.0965132153527,127.075258645133
피습 사건,1970-06-05,해군방송선 납북 사건,37.6651915483657,125.702047674071
피습 사건,1970-06-22,국립묘지 현충문 폭파 사건,37.566370776634,126.977918351844
피습 사건,1970-06-29,무장간첩선 침투 사건,35.8154621949065,126.473435206492
피습 사건,1970-07-09,어선납북 사건,37.96034201,124.6749428
피습 사건,1970-10-10,무장간첩선 침투 사건,37.5261722483585,129.122350295165
피습 사건,1970-11-01,군내부 진도 사건,,
피습 사건,1971-01-23,KAL기 납북미수 사건,38.2076459987597,128.591956790966
피습 사건,1971-05-14,무장간첩선 침투 사건,34.8115348469607,126.391282540059
피습 사건,1971-06-01,무장간첩선 격파 사건,33.9637161687124,126.296120635115
피습 사건,1971-07-01,무장공비 침투 사건,38.2160427077415,127.214234759284
피습 사건,1971-07-29,무장공비 침투 사건,37.854588695275,126.787595361922
피습 사건,1971-08-17,무장공비 침투 사건,38.0696897671828,128.170349022337
피습 사건,1971-08-18,무장공비 침투 사건,37.6989887300572,126.447154040669
피습 사건,1971-08-27,무장공비 침투 사건,37.8159864027581,126.688308399357
피습 사건,1971-09-17,무장공비 침투 사건,,
피습 사건,1971-10-30,무장간첩선 침투 사건,34.8336021815033,126.351425287896
피습 사건,1972-02-04,어선납북 사건,37.8248965826314,124.698247391309
피습 사건,1973-03-12,불법총격 사건,38.1467630109648,127.313401631163
피습 사건,1973-04-17,무장공비 침투 사건,38.0965132153527,127.075258645133
피습 사건,1973-05-17,무장간첩 침투 사건,34.3167363256874,126.745538365407
피습 사건,1973-06-05,기초산업침투 간첩단 사건,,
피습 사건,1973-06-11,대남 비방방송 재개,,
피습 사건,1974-02-15,어선격침 및 납북 사건,37.96034201,124.6749428
피습 사건,1974-05-20,무장간첩 침투 사건,33.9637161687124,126.296120635115
피습 사건,1974-06-28,해경초계정 피격 사건,,
피습 사건,1974-08-15,박대통령 저격미수 사건,37.566370776634,126.977918351844
피습 사건,1974-11-11,남침굴 발견 사건,37.9691945981238,126.779573951463
피습 사건,1975-03-19,남침굴 2호 발견 사건,38.2160427077415,127.214234759284
피습 사건,1975-03-24,북괴기 영공침투 사건,37.96034201,124.6749428
피습 사건,1975-06-28,무장간첩 침투 사건,35.1600994105234,126.851461925213
피습 사건,1975-06-30,북괴군 검단동침입 사건,37.6035808002834,126.657747518509
피습 사건,1975-10-06,무장간첩선 침투 사건,34.6830172147542,125.427369709808
피습 사건,1976-04-07,북괴전차 DMZ 출현 사건,38.4518638093902,128.297646756537
피습 사건,1976-06-19,무장공비 침투 사건,38.4518638093902,128.297646756537
피습 사건,1976-08-18,도끼살인만행 사건,37.9556099992588,126.676601006326
피습 사건,1977-07-14,미군헬리콥터 피격 사건,,
피습 사건,1978-04-28,무장간첩선 침투 사건,35.8154621949065,126.473435206492
피습 사건,1978-05-19,북괴무장선 격침 사건,37.5261722483585,129.122350295165
피습 사건,1978-10-16,제3땅굴 구축 확인,37.9556099992588,126.676601006326
피습 사건,1978-11-07,무장간첩 사건,36.6010389971776,126.67631788575
피습 사건,1979-07-21,무장간첩선 침투 사건,,
피습 사건,1979-09-01,무장간첩 사건,,
피습 사건,1979-10-09,대규모 간첩단 사건,,
피습 사건,1980-03-23,수중침투 침투 사건,37.566370776634,126.977918351844
피습 사건,1980-03-27,무장간첩선 사건,35.985186477458,129.546087974399
피습 사건,1983-10-09,미얀마 아웅산묘소 폭탄테러,21.71,95.97
피습 사건,1983-12-03,부산 다대표 무장간첩 침투,35.17992598569,129.07509523457
피습 사건,1984-09-24,북한 무장간첩 민간인 무차별 살상,35.8715665189534,128.601258980014
피습 사건,1986-09-14,김포공항 청사 폭탄테러,37.5713695798026,126.802960133589
피습 사건,1987-01-15,제27 동진호 조업 중 납북,37.96034201,124.674942791936
피습 사건,1987-11-29,KAL 858기 폭파 테러,21.71,95.97
피습 사건,1995-05-30,86 우성호 납북,35.8154621949065,126.473435206492
피습 사건,1995-07-09,안승운 목사 납북,42.891255,129.508946
피습 사건,1995-10-24,충남 부여 무장간첩 침투,36.2757349683971,126.909772511932
피습 사건,1996-09-18,잠수함 이용 무장공비 침투,37.7645195812136,128.899617238918
피습 사건,1997-02-15,귀순자 이한영 피살,37.4200218720325,127.126586301128
피습 사건,1998-06-22,북한 잠수정 속초해안 침투,38.2076459987597,128.591956790966
피습 사건,1998-12-17,전남 여수 해안 반잠수정 침투,34.7582999491087,127.716470886857
피습 사건,1999-06-15,제1연평해전,35.8154621949065,126.473435206492
피습 사건,2000-01-01,김동식 목사 납북,42.891255,129.508946
피습 사건,2002-06-29,제2연평해전,35.8154621949065,126.473435206492
피습 사건,2008-07-11,금강산 관광객 피격,34.5864130620369,126.586983101315
피습 사건,2009-11-10,대청해전,35.8154621949065,126.473435206492
피습 사건,2010-03-26,천안함 피격 사건,37.96034201,124.674942791936
피습 사건,2010-04-20,황장엽 암살 미수 1,37.566370776634,126.977918351844
피습 사건,2010-10-19,황장엽 암살 미수 2,37.566370776634,126.977918351844
피습 사건,2010-11-23,연평도 무력공격,37.6651915483657,125.702047674071
피습 사건,2015-08-04,DMZ 목함지뢰 도발,37.7600286711113,126.779919878758
